,Origin,Destination,Total_flights
0,LIRF,LIRF,0.0
1,LIRF,EDDT,-0.0
2,LIRF,RJAA,1.0
3,LIRF,EDDM,-0.0
4,LIRF,LFPG,-0.0
5,LIRF,SAEZ,0.0
6,LIRF,CYYZ,1.0
7,LIRF,MMMX,1.0
8,LIRF,CYVR,0.0
9,LIRF,EDDF,-0.0
10,LIRF,KJFK,1.0
11,LIRF,SBGL,1.0
12,LIRF,LEMD,-0.0
13,LIRF,ZSPD,1.0
14,LIRF,OMDB,0.0
15,LIRF,LTFM,-0.0
16,LIRF,ZBAA,1.0
17,LIRF,VIDP,0.0
18,LIRF,EFRO,0.0
19,LIRF,EHEH,-0.0
20,LIRF,EFHK,0.0
21,LIRF,LDZA,-0.0
22,LIRF,EBBR,-0.0
23,LIRF,EIDW,0.0
24,LIRF,LGAV,-0.0
25,LIRF,BIKF,0.0
26,LIRF,EETN,0.0
27,LIRF,LKPR,-0.0
28,LIRF,FACT,0.0
29,LIRF,ESSA,0.0
30,LIRF,EGPH,0.0
31,LIRF,LFQQ,-0.0
32,LIRF,LPPT,0.0
33,EDDT,LIRF,-0.0
34,EDDT,EDDT,0.0
35,EDDT,RJAA,1.0
36,EDDT,EDDM,-0.0
37,EDDT,LFPG,-0.0
38,EDDT,SAEZ,0.0
39,EDDT,CYYZ,0.0
40,EDDT,MMMX,-0.0
41,EDDT,CYVR,0.0
42,EDDT,EDDF,-0.0
43,EDDT,KJFK,1.0
44,EDDT,SBGL,0.0
45,EDDT,LEMD,0.0
46,EDDT,ZSPD,1.0
47,EDDT,OMDB,0.0
48,EDDT,LTFM,0.0
49,EDDT,ZBAA,1.0
50,EDDT,VIDP,-0.0
51,EDDT,EFRO,0.0
52,EDDT,EHEH,-0.0
53,EDDT,EFHK,0.0
54,EDDT,LDZA,-0.0
55,EDDT,EBBR,-0.0
56,EDDT,EIDW,-0.0
57,EDDT,LGAV,0.0
58,EDDT,BIKF,0.0
59,EDDT,EETN,0.0
60,EDDT,LKPR,-0.0
61,EDDT,FACT,0.0
62,EDDT,ESSA,-0.0
63,EDDT,EGPH,0.0
64,EDDT,LFQQ,-0.0
65,EDDT,LPPT,0.0
66,RJAA,LIRF,1.0
67,RJAA,EDDT,1.0
68,RJAA,RJAA,0.0
69,RJAA,EDDM,1.0
70,RJAA,LFPG,1.0
71,RJAA,SAEZ,0.0
72,RJAA,CYYZ,1.0
73,RJAA,MMMX,1.0
74,RJAA,CYVR,1.0
75,RJAA,EDDF,1.0
76,RJAA,KJFK,1.0
77,RJAA,SBGL,0.0
78,RJAA,LEMD,1.0
79,RJAA,ZSPD,1.0
80,RJAA,OMDB,1.0
81,RJAA,LTFM,1.0
82,RJAA,ZBAA,-0.0
83,RJAA,VIDP,-0.0
84,RJAA,EFRO,0.0
85,RJAA,EHEH,0.0
86,RJAA,EFHK,1.0
87,RJAA,LDZA,0.0
88,RJAA,EBBR,1.0
89,RJAA,EIDW,1.0
90,RJAA,LGAV,1.0
91,RJAA,BIKF,0.0
92,RJAA,EETN,0.0
93,RJAA,LKPR,-0.0
94,RJAA,FACT,0.0
95,RJAA,ESSA,1.0
96,RJAA,EGPH,0.0
97,RJAA,LFQQ,0.0
98,RJAA,LPPT,1.0
99,EDDM,LIRF,-0.0
100,EDDM,EDDT,-0.0
101,EDDM,RJAA,1.0
102,EDDM,EDDM,0.0
103,EDDM,LFPG,-0.0
104,EDDM,SAEZ,0.0
105,EDDM,CYYZ,0.0
106,EDDM,MMMX,0.0
107,EDDM,CYVR,0.0
108,EDDM,EDDF,-0.0
109,EDDM,KJFK,1.0
110,EDDM,SBGL,0.0
111,EDDM,LEMD,-0.0
112,EDDM,ZSPD,-0.0
113,EDDM,OMDB,0.0
114,EDDM,LTFM,-0.0
115,EDDM,ZBAA,-0.0
116,EDDM,VIDP,0.0
117,EDDM,EFRO,0.0
118,EDDM,EHEH,-0.0
119,EDDM,EFHK,0.0
120,EDDM,LDZA,-0.0
121,EDDM,EBBR,-0.0
122,EDDM,EIDW,0.0
123,EDDM,LGAV,0.0
