,LIRF,LIPZ,LICJ,LIRQ,LIEE,LIRN,LIPX,LIBP,LIEO,LIMJ,LIPY,LIPQ
LIRF,0,680,390,750,275,810,595,410,290,415,415,440
LIPZ,680,0,320,720,260,525,845,375,240,510,495,620
LICJ,395,305,0,310,175,395,305,220,150,240,210,230
LIRQ,680,700,335,0,230,590,790,380,250,495,450,470
LIEE,325,230,180,270,0,245,230,140,110,190,145,160
LIRN,800,590,465,505,265,0,500,435,260,395,415,455
LIPX,650,725,350,795,245,585,0,275,220,575,385,470
LIBP,440,380,245,360,140,445,305,0,130,255,270,250
LIEO,265,220,135,215,130,235,230,135,0,180,135,155
LIMJ,480,435,225,505,155,405,540,235,170,0,270,340
LIPY,405,435,205,400,135,385,425,275,150,265,0,310
LIPQ,470,755,255,475,135,360,490,240,160,345,245,0
